App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Everyone,Art & Design,"January 15, 2018",2.0.0,4.0.3 and up
U Launcher Lite,ART_AND_DESIGN,4.7,87510,8.7M,"5,000,000+",Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25M,"50,000,000+",Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up
Pixel Draw - Number Art,ART_AND_DESIGN,4.3,967,2.8M,"100,000+",Free,0,Everyone,Art & Design,"June 20, 2018",1.1,4.4 and up
Paper Draw Paint,ART_AND_DESIGN,4.5,5502,12M,"500,000+",Free,0,Everyone,Art & Design,"June 11, 2018",2.4,4.0.3 and up
Procreate Pocket Guide,ART_AND_DESIGN,,12,500k,"1,000+",Paid,$1.99,Everyone,Art & Design,"July 4, 2018",1.0.1,4.1 and up
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0,Everyone 10+,Action,"July 15, 2018",10.322.16,4.1 and up
Subway Surfers,GAME,4.5,27722264,85M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
Minecraft,GAME,4.5,2376564,Varies with device,"10,000,000+",Paid,$6.99,Everyone 10+,Arcade,"July 24, 2018",1.5.2.1,Varies with device
Turbo Clean Master,TOOLS,4.2,3210,4.5M,"100,000+",Free,0,Everyone,Tools,"June 1, 2018",2.1,4.0 and up
Life Checklist Pro,PRODUCTIVITY,,2,850k,100+,Paid,$0.99,Everyone,Productivity,"February 12, 2018",1.0,4.0 and up
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
I am Rich Gold,FINANCE,3.6,217,4.2M,"10,000+",Paid,$399.99,Everyone,Finance,"January 12, 2018",1.0,4.2 and up
Life Made WI-Fi Touchgrid,1.9,19.0,3.0M,"1,000+",Free,0,Everyone,,"February 11, 2018",1.0.19,4.0 and up,
