App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size_MB
WhatsApp Messenger,COMMUNICATION,4.4,69119316.0,Varies with device,1000000000.0,Free,0.0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,
Clash of Clans,GAME,4.6,44891723.0,98M,100000000.0,Free,0.0,Everyone 10+,Action,"July 15, 2018",10.322.16,4.1 and up,98.0
Subway Surfers,GAME,4.5,27722264.0,85M,1000000000.0,Free,0.0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,85.0
Minecraft,GAME,4.5,2376564.0,Varies with device,10000000.0,Paid,6.99,Everyone 10+,Arcade,"July 24, 2018",1.5.2.1,Varies with device,91.5
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644.0,25M,50000000.0,Free,0.0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,25.0
U Launcher Lite,ART_AND_DESIGN,4.7,87510.0,8.7M,5000000.0,Free,0.0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,8.7
Paper Draw Paint,ART_AND_DESIGN,4.5,5502.0,12M,500000.0,Free,0.0,Everyone,Art & Design,"June 11, 2018",2.4,4.0.3 and up,12.0
Turbo Clean Master,TOOLS,4.2,3210.0,4.5M,100000.0,Free,0.0,Everyone,Tools,"June 1, 2018",2.1,4.0 and up,4.5
Coloring book moana,ART_AND_DESIGN,3.9,967.0,14M,500000.0,Free,0.0,Everyone,Art & Design,"January 15, 2018",2.0.0,4.0.3 and up,14.0
Pixel Draw - Number Art,ART_AND_DESIGN,4.3,967.0,2.8M,100000.0,Free,0.0,Everyone,Art & Design,"June 20, 2018",1.1,4.4 and up,2.8
I am Rich Gold,FINANCE,3.6,217.0,4.2M,10000.0,Paid,399.99,Everyone,Finance,"January 12, 2018",1.0,4.2 and up,4.2
Photo Editor & Candy Camera,ART_AND_DESIGN,4.1,159.0,19M,10000.0,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,19.0
Procreate Pocket Guide,ART_AND_DESIGN,4.4,12.0,500k,1000.0,Paid,1.99,Everyone,Art & Design,"July 4, 2018",1.0.1,4.1 and up,0.48828125
Life Checklist Pro,PRODUCTIVITY,,2.0,850k,100.0,Paid,0.99,Everyone,Productivity,"February 12, 2018",1.0,4.0 and up,0.830078125
Life Made WI-Fi Touchgrid,1.9,19.0,,"1,000+",,0,,,"February 11, 2018",1.0.19,4.0 and up,,
